VCD info: dumpfile ALU_out.vcd opened for output.
at T=   0:A = xxxx, B = xxxx,S1 = x,S0 = x, Add_Sub = xxxxx, is A>B:x, is A=B:x, is A<B:x, AND = xxxx
at T= 342:A = 1010, B = 1010,S1 = 0,S0 = 0, Add_Sub = 10100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 344:A = 1010, B = 1011,S1 = 0,S0 = 0, Add_Sub = 10101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 346:A = 1010, B = 1100,S1 = 0,S0 = 0, Add_Sub = 10110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 348:A = 1010, B = 1101,S1 = 0,S0 = 0, Add_Sub = 10111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 350:A = 1010, B = 1110,S1 = 0,S0 = 0, Add_Sub = 11000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 352:A = 1010, B = 1111,S1 = 0,S0 = 0, Add_Sub = 11001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 354:A = 1011, B = 0000,S1 = 0,S0 = 0, Add_Sub = 01011, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 356:A = 1011, B = 0001,S1 = 0,S0 = 0, Add_Sub = 01100, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 358:A = 1011, B = 0010,S1 = 0,S0 = 0, Add_Sub = 01101, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 360:A = 1011, B = 0011,S1 = 0,S0 = 0, Add_Sub = 01110, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 362:A = 1011, B = 0100,S1 = 0,S0 = 0, Add_Sub = 01111, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 364:A = 1011, B = 0101,S1 = 0,S0 = 0, Add_Sub = 10000, is A>B:0, is A=B:0, is A<B:0, AND = 0000
at T= 366:A = 1011, B = 0110,S1 = 0,S0 = 0, Add_Sub = 10001, is A>B:0, is A=B:0, is A<B:0, AND = 0000
